No,RSS,NoRLS,RLS,Cas,Population,Taux
5,05 - Estrie,0518,0518 - RLS du Haut-Saint-François,56,22 749,"246,2"
5,05 - Estrie,0519,0519 - RLS du Granit,35,21 351,"163,9"
5,05 - Estrie,,Total,1301,493 163,"263,8"
6,06 - Montréal,0611,0611 - RLS de Pierrefonds - Lac Saint-Louis,1709,224 596,"760,9"
6,06 - Montréal,0612,0612 - RLS de Dorval - Lachine - Lasalle,2227,149 522,"1 489,4"
6,06 - Montréal,0621,0621 - RLS de Côte-Saint-Luc - NDG - Montréal-Ouest,1441,131 424,"1 096,5"
6,06 - Montréal,0622,0622 - RLS de Côte-des-Neiges - Métro - Parc-Extension,3094,245 703,"1 259,2"
6,06 - Montréal,0631,0631 - RLS de Verdun - Côte St-Paul - St-Henri - Pointe-St-Charles,2141,166 225,"1 288,0"
6,06 - Montréal,0632,0632 - RLS des Faubourgs - Plateau-Mont-Royal - St-Louis-du-Parc,1797,161 317,"1 114,0"
6,06 - Montréal,0641,0641 - RLS du Nord de l'Île - Saint-Laurent,1948,161 894,"1 203,3"
6,06 - Montréal,0642,0642 - RLS d'Ahuntsic - Montréal-Nord,4360,172 517,"2 527,3"
6,06 - Montréal,0643,0643 - RLS de la Petite Patrie - Villeray,1103,115 485,"955,1"
6,06 - Montréal,0651,0651 - RLS de Saint-Léonard - Saint-Michel,2527,139 162,"1 815,9"
6,06 - Montréal,0652,0652 - RLS de Rivière-des-Prairies - Anjou - Montréal-Est,3914,208 717,"1 875,3"
6,06 - Montréal,0653,0653 - RLS de Hochelaga - Mercier-Ouest - Rosemont,2794,189 095,"1 477,6"
6,06 - Montréal,,Total,29936,2 065 657,"1 449,2"
7,07 - Outaouais,0711,0711 - RLS du Pontiac,5,20 152,"24,8"
7,07 - Outaouais,0712,0712 - RLS de la Vallée-de-la-Gatineau,7,20 552,"34,1"
7,07 - Outaouais,0713,0713 - RLS des Collines-de-l'Outaouais,37,38 891,"95,1"
7,07 - Outaouais,0714,0714 - RLS de Grande-Rivière - Hull - Gatineau,733,264 517,"277,1"
7,07 - Outaouais,0715,0715 - RLS de la Vallée-de-la-Lièvre et de la Petite Nation,78,56 920,"137,0"
7,07 - Outaouais,,Total,864,401 032,"215,4"
8,08 - Abitibi-Témiscamingue,0811,0811 - RLS de l'Abitibi-Ouest,13,20 528,"63,3"
8,08 - Abitibi-Témiscamingue,0812,0812 - RLS de l'Abitibi,11,24 729,"44,5"
8,08 - Abitibi-Témiscamingue,0813,0813 - RLS de Rouyn-Noranda,132,43 180,"305,7"
8,08 - Abitibi-Témiscamingue,0814,0814 - RLS de la Vallée-de-l'Or,11,43 551,"25,3"
8,08 - Abitibi-Témiscamingue,0815,0815 - RLS du Témiscaming,21,15 628,"134,4"
8,08 - Abitibi-Témiscamingue,,Total,189,147 616,"128,0"
9,09 - Côte-Nord,0911,0911 - RLS de Caniapiscau,n.d.,3 230,n.d.
9,09 - Côte-Nord,0912,0912 - RLS de la Haute-Côte-Nord - Manicouagan,20,40 494,"49,4"
9,09 - Côte-Nord,0913,0913 - RLS de Port-Cartier,51,7 314,"697,3"
9,09 - Côte-Nord,0914,0914 - RLS de Sept-Îles,48,27 344,"175,5"
9,09 - Côte-Nord,0915,0915 - RLS de la Minganie,8,6 428,"124,5"
9,09 - Côte-Nord,0916,0916 - RLS de la Basse-Côte-Nord,0,4 582,"0,0"
9,09 - Côte-Nord,0917,0917 - RLS de Kawawachikamach,0,641,"0,0"
9,09 - Côte-Nord,,Total,128,90 033,"142,2"
10,10 - Nord-du-Québec,1001,1001 - Nord-du-Québec,8,13 558,"59,0"
10,10 - Nord-du-Québec,,Total,8,13 558,"59,0"
11,11 - Gaspésie-Îles-de-la-Madeleine,1111,1111 - RLS de la Baie-des-Chaleurs,143,32 176,"444,4"
11,11 - Gaspésie-Îles-de-la-Madeleine,1112,1112 - RLS de la Haute-Gaspésie,10,10 582,"94,5"
11,11 - Gaspésie-Îles-de-la-Madeleine,1113,1113 - RLS de La Côte-de-Gaspé,17,18 753,"90,7"
11,11 - Gaspésie-Îles-de-la-Madeleine,1114,1114 - RLS du Rocher-Percé,33,15 881,"207,8"
11,11 - Gaspésie-Îles-de-la-Madeleine,1121,1121 - RLS des Îles-de-la-Madeleine,10,12 606,"79,3"
11,11 - Gaspésie-Îles-de-la-Madeleine,,Total,213,89 998,"236,7"
12,12 - Chaudière-Appalaches,1211,1211 - RLS Alphonse-Desjardins,454,258 118,"175,9"
12,12 - Chaudière-Appalaches,1212,1212 - RLS de la région de Thetford,54,42 500,"127,1"
12,12 - Chaudière-Appalaches,1213,1213 - RLS de Beauce,74,73 173,"101,1"
12,12 - Chaudière-Appalaches,1214,1214 - RLS des Etchemins,17,16 426,"103,5"
12,12 - Chaudière-Appalaches,1215,1215 - RLS de Montmagny-L'Islet,20,40 092,"49,9"
12,12 - Chaudière-Appalaches,,Total,620,430 309,"144,1"
13,13 - Laval,1311,1311 - RLS de Laval,6338,442 745,"1 431,5"
13,13 - Laval,,Total,6338,442 745,"1 431,5"
14,14 - Lanaudière,1411,1411 - RLS de Lanaudière-Nord,1773,223 099,"794,7"
14,14 - Lanaudière,1412,1412 - RLS de Lanaudière-Sud,3011,296 993,"1 013,8"
14,14 - Lanaudière,,Total,4867,520 092,"935,8"
15,15 - Laurentides,1511,1511 - RLS d'Antoine-Labelle,31,35 580,"87,1"
15,15 - Laurentides,1512,1512 - RLS des Laurentides,182,48 016,"379,0"
15,15 - Laurentides,1513,1513 - RLS des Pays-d'en-Haut,259,44 362,"583,8"
15,15 - Laurentides,1514,1514 - RLS d'Argenteuil,124,33 422,"371,0"
15,15 - Laurentides,1515,1515 - RLS de Deux-Montagnes - Mirabel-Sud,886,124 641,"710,8"
15,15 - Laurentides,1516,1516 - RLS de la Rivière-du-Nord - Mirabel-Nord,1286,177 517,"724,4"
15,15 - Laurentides,1517,1517 - RLS de Thérèse-De Blainville,1489,163 430,"911,1"
15,15 - Laurentides,,Total,4273,626 968,"681,5"
16,16 - Montérégie,1611,1611 - RLS de Champlain,2031,225 442,"900,9"
16,16 - Montérégie,1612,1612 - RLS du Haut-Richelieu - Rouville,840,195 297,"430,1"
16,16 - Montérégie,1621,1621 - RLS Pierre-Boucher,2340,262 440,"891,6"
16,16 - Montérégie,1622,1622 - RLS de Richelieu-Yamaska,1055,220 957,"477,5"
16,16 - Montérégie,1623,1623 - RLS Pierre-De Saurel,55,51 371,"107,1"
16,16 - Montérégie,1631,1631 - RLS de Vaudreuil-Soulanges,854,160 002,"533,7"
16,16 - Montérégie,1632,1632 - RLS du Suroît,689,60 523,"1 138,4"
16,16 - Montérégie,1633,1633 - RLS du Haut-Saint-Laurent,109,24 346,"447,7"
16,16 - Montérégie,1634,1634 - RLS de Jardins-Roussillon,1395,232 373,"600,3"
16,16 - Montérégie,,Total,9379,1 432 751,"654,6"
17,17 - Nunavik,1701,1701 - Nunavik,17,14 260,"119,2"
17,17 - Nunavik,,Total,17,14 260,"119,2"
18,18 - Terres-Cries-de-la-Baie-James,1801,1801 - Terres-Cries-de-la-Baie-James,10,18 385,"54,4"
18,18 - Terres-Cries-de-la-Baie-James,,Total,10,18 385,"54,4"
