No,RSS,NoRLS,RLS,Cas vague 1,Taux cas vague 1,Cas vague 2,Taux cas vague 2,Cas vague 3,Taux cas vague 3,Cas vague 4,Taux cas vague 4,Cas vague 5,Taux cas vague 5,Cas vague 6,Taux cas vague 6
03,03 - Capitale-Nationale,0312,0312 - RLS de Québec-Sud,956,297.08,9693,3010.97,3758,1166.90,1349,418.88,16512,5096.89,8130,2494.82
03,03 - Capitale-Nationale,0313,0313 - RLS de Québec-Nord,644,183.07,9456,2680.33,5104,1442.61,1676,473.71,18642,5249.66,8168,2291.72
03,03 - Capitale-Nationale,0314,0314 - RLS de Charlevoix,13,45.79,522,1839.74,135,476.09,69,243.33,1483,5225.97,912,3211.38
03,03 - Capitale-Nationale,,Total (incluant inconnus),1674,221.12,21067,2777.95,9693,1275.95,3232,425.45,39595,5188.55,18316,2389.32
04,04 - Mauricie et Centre-du-Québec,0411,0411 - RLS du Haut-Saint-Maurice,n.d.,n.d.,387,2565.72,31,205.65,70,464.38,1262,8368.98,565,3745.44
04,04 - Mauricie et Centre-du-Québec,0412,0412 - RLS de la Vallée de la Batiscan,97,376.71,308,1195.49,98,380.17,94,364.65,1133,4390.45,475,1838.66
04,04 - Mauricie et Centre-du-Québec,0413,0413 - RLS de Maskinongé,224,977.27,350,1527.98,78,340.75,191,834.39,1095,4783.54,325,1419.77
04,04 - Mauricie et Centre-du-Québec,0414,0414 - RLS du Centre-de-la-Mauricie,317,485.89,1043,1594.98,172,262.42,280,427.19,3219,4896.34,1923,2916.20
04,04 - Mauricie et Centre-du-Québec,0415,0415 - RLS de Trois-Rivières,844,582.03,2639,1819.08,361,248.73,1079,743.43,8806,6042.72,3824,2613.45
04,04 - Mauricie et Centre-du-Québec,0416,0416 - RLS de Bécancour - Nicolet-Yamaska,48,106.89,754,1675.85,161,357.16,389,862.95,2799,6191.66,770,1698.50
04,04 - Mauricie et Centre-du-Québec,0417,0417 - RLS de Drummond,270,249.34,3164,2914.73,672,617.56,558,512.79,4810,4404.00,2141,1953.08
04,04 - Mauricie et Centre-du-Québec,0418,0418 - RLS d'Arthabaska - de l'Érable,32,32.49,2306,2338.87,651,659.49,1171,1186.28,7334,7409.24,2129,2144.94
04,04 - Mauricie et Centre-du-Québec,,Total (incluant inconnus),1839,349.83,11031,2095.72,2232,423.50,3857,731.84,30573,5783.13,12181,2297.07
05,05 - Estrie,0511,0511 - RLS de la Pommeraie,100,175.13,844,1468.78,219,378.73,283,489.41,1625,2791.47,938,1600.66
05,05 - Estrie,0512,0512 - RLS de la Haute-Yamaska,169,158.34,2712,2524.87,420,388.57,855,791.02,3651,3354.60,1864,1700.99
05,05 - Estrie,0513,0513 - RLS de Memphrémagog,83,156.54,633,1188.27,210,392.37,664,1240.63,2350,4367.26,1062,1963.10
05,05 - Estrie,0514,0514 - RLS de Coaticook,12,63.63,402,2126.93,189,997.84,168,886.96,793,4174.34,321,1684.77
05,05 - Estrie,0515,0515 - RLS de Sherbrooke,262,153.07,3635,2116.78,974,565.33,1999,1160.27,9094,5235.45,4527,2585.19
05,05 - Estrie,0516,0516 - RLS de Val Saint-François,69,217.37,562,1765.85,172,539.03,292,915.10,1322,4128.15,600,1866.89
05,05 - Estrie,0517,0517 - RLS d'Asbestos,44,305.41,541,3752.25,62,429.69,482,3340.49,678,4691.55,270,1865.41
05,05 - Estrie,0518,0518 - RLS du Haut-Saint-François,29,126.49,356,1547.86,126,546.12,408,1768.38,931,4020.73,496,2134.43
05,05 - Estrie,0519,0519 - RLS du Granit,11,50.95,809,3743.98,745,3444.77,556,2570.86,1625,7504.56,291,1342.25
05,05 - Estrie,,Total (incluant inconnus),790,158.78,10496,2100.80,3120,621.89,5711,1138.33,22094,4376.44,10385,2044.38
06,06 - Montréal,0611,0611 - RLS de Pierrefonds - Lac Saint-Louis,1457,645.11,7254,3224.11,2223,991.83,2066,921.78,11742,5226.33,3794,1684.66
06,06 - Montréal,0612,0612 - RLS de Dorval - Lachine - Lasalle,2009,1347.99,5631,3798.67,1735,1176.79,1403,951.61,9030,6094.66,2686,1804.02
06,06 - Montréal,0621,0621 - RLS de Côte-Saint-Luc - NDG - Montréal-Ouest,1310,995.86,4684,3586.98,1199,924.99,1529,1179.57,6853,5245.63,2564,1947.43
06,06 - Montréal,0622,0622 - RLS de Côte-des-Neiges - Métro - Parc-Extension,2627,1063.58,10623,4350.14,2744,1136.70,2477,1026.09,13627,5572.65,4313,1741.46
06,06 - Montréal,0631,0631 - RLS de Verdun - Côte St-Paul - St-Henri - Pointe-St-Charles,1642,980.02,4224,2542.61,1227,744.95,1554,943.48,9226,5565.74,2946,1765.99
06,06 - Montréal,0632,0632 - RLS des Faubourgs - Plateau-Mont-Royal - St-Louis-du-Parc,1396,863.25,4379,2738.36,1197,757.06,1434,906.96,9911,6178.81,2958,1818.13
06,06 - Montréal,0641,0641 - RLS du Nord de l'Île - Saint-Laurent,1698,1046.46,8568,5300.13,2849,1769.00,1995,1238.74,8491,5217.03,2514,1528.64
06,06 - Montréal,0642,0642 - RLS d'Ahuntsic - Montréal-Nord,3848,2230.76,9026,5261.01,1988,1165.09,2359,1382.52,10844,6331.15,2885,1678.02
06,06 - Montréal,0643,0643 - RLS de la Petite Patrie - Villeray,909,785.90,3564,3106.23,835,733.68,1084,952.46,8312,7262.02,2166,1881.73
06,06 - Montréal,0651,0651 - RLS de Saint-Léonard - Saint-Michel,2102,1515.61,8801,6379.20,2184,1591.40,2615,1905.45,8452,6130.21,1883,1359.46
06,06 - Montréal,0652,0652 - RLS de Rivière-des-Prairies - Anjou - Montréal-Est,3326,1591.59,10085,4830.06,2373,1137.47,3207,1537.24,13291,6347.39,3638,1731.01
06,06 - Montréal,0653,0653 - RLS de Hochelaga - Mercier-Ouest - Rosemont,2318,1226.01,6332,3368.29,1767,945.38,2095,1120.87,11667,6217.76,3407,1808.66
06,06 - Montréal,,Total (incluant inconnus),25422,1228.21,84097,4088.81,22441,1098.07,23977,1173.23,123056,5980.63,36390,1756.71
07,07 - Outaouais,0711,0711 - RLS du Pontiac,n.d.,n.d.,80,396.58,283,1399.40,61,301.64,662,3266.15,188,925.47
07,07 - Outaouais,0712,0712 - RLS de la Vallée-de-la-Gatineau,n.d.,n.d.,409,1976.90,102,492.47,41,197.95,896,4320.47,288,1386.95
07,07 - Outaouais,0713,0713 - RLS des Collines-de-l'Outaouais,14,35.71,315,798.62,317,798.91,129,325.11,1964,4922.06,444,1106.54
07,07 - Outaouais,0714,0714 - RLS de Grande-Rivière - Hull - Gatineau,315,119.48,3935,1485.78,3818,1435.10,1568,589.38,14035,5240.65,3368,1249.36
07,07 - Outaouais,0715,0715 - RLS de la Vallée-de-la-Lièvre et de la Petite Nation,22,38.10,685,1180.02,575,985.40,240,411.30,3244,5530.69,955,1619.82
07,07 - Outaouais,,Total (incluant inconnus),361,89.94,5457,1353.43,5120,1264.17,2051,506.41,20908,5132.38,5270,1286.19
08,08 - Abitibi-Témiscamingue,0811,0811 - RLS de l'Abitibi-Ouest,7,34.08,91,442.97,5,24.33,29,141.14,692,3366.33,570,2771.56
08,08 - Abitibi-Témiscamingue,0812,0812 - RLS de l'Abitibi,n.d.,n.d.,257,1036.98,19,76.72,42,169.60,1023,4132.33,570,2303.22
08,08 - Abitibi-Témiscamingue,0813,0813 - RLS de Rouyn-Noranda,94,218.02,169,392.43,122,283.62,61,141.81,1412,3279.41,1110,2575.53
08,08 - Abitibi-Témiscamingue,0814,0814 - RLS de la Vallée-de-l'Or,6,13.75,196,448.78,93,212.82,100,228.84,2071,4734.53,1044,2384.32
08,08 - Abitibi-Témiscamingue,0815,0815 - RLS du Témiscaming,8,50.66,35,221.81,29,183.94,199,1262.21,732,4646.29,405,2572.57
08,08 - Abitibi-Témiscamingue,,Total (incluant inconnus),122,82.49,750,507.29,270,182.69,432,292.30,5941,4017.83,3703,2503.02
09,09 - Côte-Nord,0911,0911 - RLS de Caniapiscau,0,0.00,11,337.01,n.d.,n.d.,n.d.,n.d.,217,6605.78,110,3338.39
09,09 - Côte-Nord,0912,0912 - RLS de la Haute-Côte-Nord - Manicouagan,17,41.80,129,318.44,178,441.13,210,520.43,1921,4775.99,1480,3691.42
09,09 - Côte-Nord,0913,0913 - RLS de Port-Cartier,41,556.16,40,543.85,6,81.77,n.d.,n.d.,313,4275.08,202,2765.23
09,09 - Côte-Nord,0914,0914 - RLS de Sept-Îles,36,130.73,54,196.47,20,72.90,37,134.87,1803,6580.17,957,3496.78
09,09 - Côte-Nord,0915,0915 - RLS de la Minganie,n.d.,n.d.,13,202.35,8,124.77,n.d.,n.d.,354,5530.39,483,7558.69
09,09 - Côte-Nord,0916,0916 - RLS de la Basse-Côte-Nord,0,0.00,6,130.32,n.d.,n.d.,n.d.,n.d.,364,7964.12,585,12848.67
09,09 - Côte-Nord,0917,0917 - RLS de Kawawachikamach,0,0.00,0,0.00,0,0.00,n.d.,n.d.,n.d.,n.d.,8,1204.82
09,09 - Côte-Nord,,Total (incluant inconnus),103,113.78,258,285.75,225,249.86,265,294.28,5081,5654.41,3863,4308.11
10,10 - Nord-du-Québec,1001,1001 - Nord-du-Québec,n.d.,n.d.,86,640.67,20,149.51,26,194.36,763,5719.43,491,3690.62
10,10 - Nord-du-Québec,,Total (incluant inconnus),14,103.93,96,715.16,20,149.51,29,216.79,801,6004.27,494,3713.17
11,11 - Gaspésie-Îles-de-la-Madeleine,1111,1111 - RLS de la Baie-des-Chaleurs,123,379.14,640,1969.62,135,414.81,150,460.90,1087,3335.48,1326,4063.37
11,11 - Gaspésie-Îles-de-la-Madeleine,1112,1112 - RLS de la Haute-Gaspésie,n.d.,n.d.,32,300.20,100,941.00,10,94.10,531,5008.02,496,4688.53
11,11 - Gaspésie-Îles-de-la-Madeleine,1113,1113 - RLS de La Côte-de-Gaspé,13,69.42,436,2326.70,48,255.99,14,74.66,474,2522.01,840,4459.07
11,11 - Gaspésie-Îles-de-la-Madeleine,1114,1114 - RLS du Rocher-Percé,30,186.78,404,2522.40,71,444.56,97,607.35,815,5114.21,890,5597.13
11,11 - Gaspésie-Îles-de-la-Madeleine,1121,1121 - RLS des Îles-de-la-Madeleine,9,70.46,33,257.44,16,124.39,10,77.74,471,3650.03,658,5083.04
11,11 - Gaspésie-Îles-de-la-Madeleine,,Total (incluant inconnus),179,197.36,1551,1709.52,373,410.99,286,315.13,3392,3734.59,4224,4647.07
12,12 - Chaudière-Appalaches,1211,1211 - RLS Alphonse-Desjardins,306,117.84,5870,2254.03,3665,1403.25,2052,785.67,15409,5876.90,6415,2437.19
12,12 - Chaudière-Appalaches,1212,1212 - RLS de la région de Thetford,32,74.36,1262,2931.44,467,1084.36,903,2096.73,4213,9767.01,1309,3029.88
12,12 - Chaudière-Appalaches,1213,1213 - RLS de Beauce,32,43.66,3165,4317.40,2490,3395.75,2112,2880.25,6264,8528.31,1787,2428.91
12,12 - Chaudière-Appalaches,1214,1214 - RLS des Etchemins,8,48.29,422,2547.00,328,1979.36,407,2456.10,1214,7321.85,352,2121.76
12,12 - Chaudière-Appalaches,1215,1215 - RLS de Montmagny-L'Islet,12,29.83,542,1349.80,508,1267.40,66,164.66,1973,4928.00,1002,2505.56
12,12 - Chaudière-Appalaches,,Total (incluant inconnus),393,90.81,11350,2618.20,7480,1722.61,5567,1282.05,29629,6805.05,10931,2503.84
13,13 - Laval,1311,1311 - RLS de Laval,4816,1088.00,19904,4483.60,5298,1190.00,7120,1599.25,27812,6212.67,7803,1733.53
13,13 - Laval,,Total (incluant inconnus),4899,1106.75,19919,4486.98,5304,1191.35,7127,1600.82,27896,6231.43,7818,1736.86
14,14 - Lanaudière,1411,1411 - RLS de Lanaudière-Nord,1224,542.08,6550,2882.12,806,352.38,1645,719.19,12313,5344.49,4218,1817.76
14,14 - Lanaudière,1412,1412 - RLS de Lanaudière-Sud,2173,727.80,9958,3318.19,2074,687.59,3360,1113.93,22003,7254.52,5837,1913.98
14,14 - Lanaudière,,Total (incluant inconnus),3471,661.94,16553,3138.80,2885,543.97,5017,945.95,34402,6446.09,10064,1874.08
15,15 - Laurentides,1511,1511 - RLS d'Antoine-Labelle,20,55.76,766,2132.93,127,353.16,264,734.13,2190,6080.21,1029,2852.31
15,15 - Laurentides,1512,1512 - RLS des Laurentides,141,288.37,702,1425.80,208,419.56,612,1234.47,3160,6327.09,976,1939.90
15,15 - Laurentides,1513,1513 - RLS des Pays-d'en-Haut,178,392.24,635,1386.61,147,318.11,564,1220.52,2395,5138.11,924,1965.33
15,15 - Laurentides,1514,1514 - RLS d'Argenteuil,78,231.23,417,1228.78,185,541.90,278,814.32,1829,5325.69,516,1493.62
15,15 - Laurentides,1515,1515 - RLS de Deux-Montagnes - Mirabel-Sud,552,441.45,2765,2198.60,688,543.96,1095,865.74,7677,6030.78,2489,1942.82
15,15 - Laurentides,1516,1516 - RLS de la Rivière-du-Nord - Mirabel-Nord,809,454.19,3686,2049.95,1111,612.13,2290,1261.72,12931,7055.63,4090,2210.26
15,15 - Laurentides,1517,1517 - RLS de Thérèse-De Blainville,1003,609.52,4043,2446.44,1129,680.26,1448,872.47,12113,7262.56,3599,2147.26
15,15 - Laurentides,,Total (incluant inconnus),2847,450.77,13167,2071.22,3626,566.71,6598,1031.21,42850,6650.90,13731,2116.64
16,16 - Montérégie,1611,1611 - RLS de Champlain,1577,695.63,5571,2451.48,1618,710.27,2125,932.83,10040,4384.11,3705,1609.35
16,16 - Montérégie,1612,1612 - RLS du Haut-Richelieu - Rouville,621,317.12,3925,1993.64,985,497.67,1523,769.49,9341,4693.51,3982,1989.86
16,16 - Montérégie,1621,1621 - RLS Pierre-Boucher,1743,663.19,6516,2474.61,1730,655.78,1809,685.73,12183,4597.84,4451,1672.45
16,16 - Montérégie,1622,1622 - RLS de Richelieu-Yamaska,785,353.20,5947,2669.02,1180,528.25,1098,491.54,9647,4302.29,4076,1810.92
16,16 - Montérégie,1623,1623 - RLS Pierre-De Saurel,42,81.03,1097,2111.08,167,320.57,497,954.03,2560,4900.46,1085,2071.20
16,16 - Montérégie,1631,1631 - RLS de Vaudreuil-Soulanges,546,338.07,3100,1906.03,1096,669.20,991,605.09,7907,4793.97,2395,1441.94
16,16 - Montérégie,1632,1632 - RLS du Suroît,476,781.48,1217,1985.14,329,533.22,520,842.77,3695,5947.83,1389,2220.77
16,16 - Montérégie,1633,1633 - RLS du Haut-Saint-Laurent,88,357.88,478,1935.61,123,495.95,106,427.40,946,3794.70,315,1257.08
16,16 - Montérégie,1634,1634 - RLS de Jardins-Roussillon,870,373.46,5357,2286.36,1635,693.83,1650,700.20,12235,5153.46,4815,2013.13
16,16 - Montérégie,,Total (incluant inconnus),6804,472.70,33324,2305.90,8889,612.64,10368,714.57,68996,4729.40,26362,1797.23
17,17 - Nunavik,1701,1701 - Nunavik,n.d.,n.d.,49,338.09,19,129.91,887,6064.96,1738,11784.65,459,3086.54
17,17 - Nunavik,,Total (incluant inconnus),n.d.,n.d.,54,372.59,20,136.75,890,6085.47,1762,11947.38,461,3099.99
18,18 - Terres-Cries-de-la-Baie-James,1801,1801 - Terres-Cries-de-la-Baie-James,5,27.25,100,540.39,7,37.51,27,144.67,1157,6148.70,1236,6515.21
18,18 - Terres-Cries-de-la-Baie-James,,Total (incluant inconnus),5,27.25,100,540.39,7,37.51,33,176.82,1181,6276.24,1244,6557.38

