No,RSS,NoRLS,RLS,Cas,Population,Taux
6,06 - Montréal,0611,0611 - RLS de Pierrefonds - Lac Saint-Louis,1629,224 596,"725,3"
6,06 - Montréal,0612,0612 - RLS de Dorval - Lachine - Lasalle,2135,149 522,"1 427,9"
6,06 - Montréal,0621,0621 - RLS de Côte-Saint-Luc - NDG - Montréal-Ouest,1356,131 424,"1 031,8"
6,06 - Montréal,0622,0622 - RLS de Côte-des-Neiges - Métro - Parc-Extension,2920,245 703,"1 188,4"
6,06 - Montréal,0631,0631 - RLS de Verdun - Côte St-Paul - St-Henri - Pointe-St-Charles,1997,166 225,"1 201,4"
6,06 - Montréal,0632,0632 - RLS des Faubourgs - Plateau-Mont-Royal - St-Louis-du-Parc,1635,161 317,"1 013,5"
6,06 - Montréal,0641,0641 - RLS du Nord de l'Île - Saint-Laurent,1837,161 894,"1 134,7"
6,06 - Montréal,0642,0642 - RLS d'Ahuntsic - Montréal-Nord,4232,172 517,"2 453,1"
6,06 - Montréal,0643,0643 - RLS de la Petite Patrie - Villeray,1010,115 485,"874,6"
6,06 - Montréal,0651,0651 - RLS de Saint-Léonard - Saint-Michel,2412,139 162,"1 733,2"
6,06 - Montréal,0652,0652 - RLS de Rivière-des-Prairies - Anjou - Montréal-Est,3811,208 717,"1 825,9"
6,06 - Montréal,0653,0653 - RLS de Hochelaga - Mercier-Ouest - Rosemont,2627,189 095,"1 389,2"
6,06 - Montréal,,Total,28425,2 065 657,"1 376,1"
7,07 - Outaouais,0711,0711 - RLS du Pontiac,n.d.,20 152,n.d.
7,07 - Outaouais,0712,0712 - RLS de la Vallée-de-la-Gatineau,n.d.,20 552,n.d.
7,07 - Outaouais,0713,0713 - RLS des Collines-de-l'Outaouais,25,38 891,"64,3"
7,07 - Outaouais,0714,0714 - RLS de Grande-Rivière - Hull - Gatineau,565,264 517,"213,6"
7,07 - Outaouais,0715,0715 - RLS de la Vallée-de-la-Lièvre et de la Petite Nation,55,56 920,"96,6"
7,07 - Outaouais,,Total,653,401 032,"162,8"
8,08 - Abitibi-Témiscamingue,0811,0811 - RLS de l'Abitibi-Ouest,11,20 528,"53,6"
8,08 - Abitibi-Témiscamingue,0812,0812 - RLS de l'Abitibi,5,24 729,"20,2"
8,08 - Abitibi-Témiscamingue,0813,0813 - RLS de Rouyn-Noranda,131,43 180,"303,4"
8,08 - Abitibi-Témiscamingue,0814,0814 - RLS de la Vallée-de-l'Or,8,43 551,"18,4"
8,08 - Abitibi-Témiscamingue,0815,0815 - RLS du Témiscaming,21,15 628,"134,4"
8,08 - Abitibi-Témiscamingue,,Total,177,147 616,"119,9"
9,09 - Côte-Nord,0911,0911 - RLS de Caniapiscau,0,3 230,"0,0"
9,09 - Côte-Nord,0912,0912 - RLS de la Haute-Côte-Nord - Manicouagan,20,40 494,"49,4"
9,09 - Côte-Nord,0913,0913 - RLS de Port-Cartier,51,7 314,"697,3"
9,09 - Côte-Nord,0914,0914 - RLS de Sept-Îles,48,27 344,"175,5"
9,09 - Côte-Nord,0915,0915 - RLS de la Minganie,7,6 428,"108,9"
9,09 - Côte-Nord,0916,0916 - RLS de la Basse-Côte-Nord,0,4 582,"0,0"
9,09 - Côte-Nord,0917,0917 - RLS de Kawawachikamach,0,641,"0,0"
9,09 - Côte-Nord,,Total,126,90 033,"139,9"
10,10 - Nord-du-Québec,1001,1001 - Nord-du-Québec,8,13 558,"59,0"
10,10 - Nord-du-Québec,,Total,8,13 558,"59,0"
11,11 - Gaspésie-Îles-de-la-Madeleine,1111,1111 - RLS de la Baie-des-Chaleurs,137,32 176,"425,8"
11,11 - Gaspésie-Îles-de-la-Madeleine,1112,1112 - RLS de la Haute-Gaspésie,n.d.,10 582,n.d.
11,11 - Gaspésie-Îles-de-la-Madeleine,1113,1113 - RLS de La Côte-de-Gaspé,13,18 753,"69,3"
11,11 - Gaspésie-Îles-de-la-Madeleine,1114,1114 - RLS du Rocher-Percé,33,15 881,"207,8"
11,11 - Gaspésie-Îles-de-la-Madeleine,1121,1121 - RLS des Îles-de-la-Madeleine,9,12 606,"71,4"
11,11 - Gaspésie-Îles-de-la-Madeleine,,Total,196,89 998,"217,8"
12,12 - Chaudière-Appalaches,1211,1211 - RLS Alphonse-Desjardins,413,258 118,"160,0"
12,12 - Chaudière-Appalaches,1212,1212 - RLS de la région de Thetford,46,42 500,"108,2"
12,12 - Chaudière-Appalaches,1213,1213 - RLS de Beauce,54,73 173,"73,8"
12,12 - Chaudière-Appalaches,1214,1214 - RLS des Etchemins,8,16 426,"48,7"
12,12 - Chaudière-Appalaches,1215,1215 - RLS de Montmagny-L'Islet,14,40 092,"34,9"
12,12 - Chaudière-Appalaches,,Total,535,430 309,"124,3"
13,13 - Laval,1311,1311 - RLS de Laval,5970,442 745,"1 348,4"
13,13 - Laval,,Total,5970,442 745,"1 348,4"
14,14 - Lanaudière,1411,1411 - RLS de Lanaudière-Nord,1566,223 099,"701,9"
14,14 - Lanaudière,1412,1412 - RLS de Lanaudière-Sud,2805,296 993,"944,5"
14,14 - Lanaudière,,Total,4449,520 092,"855,4"
15,15 - Laurentides,1511,1511 - RLS d'Antoine-Labelle,25,35 580,"70,3"
15,15 - Laurentides,1512,1512 - RLS des Laurentides,175,48 016,"364,5"
15,15 - Laurentides,1513,1513 - RLS des Pays-d'en-Haut,247,44 362,"556,8"
15,15 - Laurentides,1514,1514 - RLS d'Argenteuil,104,33 422,"311,2"
15,15 - Laurentides,1515,1515 - RLS de Deux-Montagnes - Mirabel-Sud,737,124 641,"591,3"
15,15 - Laurentides,1516,1516 - RLS de la Rivière-du-Nord - Mirabel-Nord,1159,177 517,"652,9"
15,15 - Laurentides,1517,1517 - RLS de Thérèse-De Blainville,1307,163 430,"799,7"
15,15 - Laurentides,,Total,3763,626 968,"600,2"
16,16 - Montérégie,1611,1611 - RLS de Champlain,1920,225 442,"851,7"
16,16 - Montérégie,1612,1612 - RLS du Haut-Richelieu - Rouville,732,195 297,"374,8"
16,16 - Montérégie,1621,1621 - RLS Pierre-Boucher,2166,262 440,"825,3"
16,16 - Montérégie,1622,1622 - RLS de Richelieu-Yamaska,943,220 957,"426,8"
16,16 - Montérégie,1623,1623 - RLS Pierre-De Saurel,50,51 371,"97,3"
16,16 - Montérégie,1631,1631 - RLS de Vaudreuil-Soulanges,775,160 002,"484,4"
16,16 - Montérégie,1632,1632 - RLS du Suroît,650,60 523,"1 074,0"
16,16 - Montérégie,1633,1633 - RLS du Haut-Saint-Laurent,103,24 346,"423,1"
16,16 - Montérégie,1634,1634 - RLS de Jardins-Roussillon,1270,232 373,"546,5"
16,16 - Montérégie,,Total,8613,1 432 751,"601,2"
17,17 - Nunavik,1701,1701 - Nunavik,17,14 260,"119,2"
17,17 - Nunavik,,Total,17,14 260,"119,2"
18,18 - Terres-Cries-de-la-Baie-James,1801,1801 - Terres-Cries-de-la-Baie-James,10,18 385,"54,4"
18,18 - Terres-Cries-de-la-Baie-James,,Total,10,18 385,"54,4"
